anime_id,title
166,"Dirty Pair: Lovely Angels yori Ai wo Komete"
166,"Dirty Pair: Lovely Angels yori Ai wo Komete"
166,"Dirty Pair OVA"
166,"Dirty Pair: The Movie"
166,"Dirty Pair: The Movie"
179,"Maria-sama ga Miteru: Haru"
179,"Maria-sama ga Miteru: Haru"
179,"Maria-sama ga Miteru 3rd"
179,"Maria-sama ga Miteru 4th"
181,Papuwa
181,Papuwa
215,"Kino no Tabi: The Beautiful World"
215,"Kino no Tabi: The Beautiful World"
215,"Kino no Tabi: The Beautiful World - Byouki no Kuni - For You"
224,"Yamato Takeru: After War"
224,"Yamato Takeru: After War"
237,"Ashita no Joe 2"
237,"Ashita no Joe 2"
246,"Dirty Pair: The Movie"
246,"Dirty Pair: The Movie"
251,"Fuuma no Kojirou: Fuuma Hanran-hen"
251,"Fuuma no Kojirou: Fuuma Hanran-hen"
252,"Shin Chou Kyou Ryo: Condor Hero II"
252,"Shin Chou Kyou Ryo: Condor Hero II"
252,"Shin Chou Kyou Ryo: Condor Hero III"
253,"Future GPX Cyber Formula Sin"
253,"Future GPX Cyber Formula Sin"
255,"Houkago 2: Sayuri"
255,"Houkago 2: Sayuri"
258,"Waga Seishun no Arcadia: Mugen Kidou SSX"
258,"Waga Seishun no Arcadia: Mugen Kidou SSX"
267,"Rhea Gall Force"
267,"Rhea Gall Force"
267,"Gall Force: Chikyuu Shou"
267,"Gall Force: New Era"
267,"Gall Force: New Era"
270,"Lemon Angel (1988/II)"
270,"Lemon Angel (1988/II)"
271,"Masuda Kousuke Gekijou Gag Manga Biyori +"
271,"Masuda Kousuke Gekijou Gag Manga Biyori +"
277,"Sensei no Ojikan: Dokidoki School Hours OVA"
277,"Sensei no Ojikan: Dokidoki School Hours OVA"
302,"Kakyuusei 2: Anthology"
302,"Kakyuusei 2: Anthology"
309,"Nurarihyon no Mago: Sennen Makyou"
309,"Nurarihyon no Mago: Sennen Makyou"
255,"Houkago 2: Sayuri"
255,"Houkago 2: Sayuri"
315,"City Hunter: Goodbye My Sweetheart"
315,"City Hunter: Goodbye My Sweetheart"
315,"City Hunter: The Secret Service"
315,"City Hunter: The Secret Service"
317,"Umi Monogatari: Anata ga Ite Kureta Koto - Shinjiau Kokoro"
317,"Umi Monogatari: Anata ga Ite Kureta Koto - Shinjiau Kokoro"
323,K-On!!
323,K-On!!
324,"Kansen 5: The Daybreak"
324,"Kansen 5: The Daybreak"
327,"Cobra The Animation: The Psycho-Gun"
327,"Cobra The Animation: The Psycho-Gun"
327,"Cobra The Animation: Time Drive"
327,"Cobra The Animation"
335,"VS Knight Lamune & 40 Fire"
335,"VS Knight Lamune & 40 Fire"
335,"VS Knight Lamune & 40 Fresh"
343,"Kinnikuman II Sei: Ultimate Muscle"
343,"Kinnikuman II Sei: Ultimate Muscle"
343,"Kinnikuman II Sei: Ultimate Muscle 2"
348,"Vampire Hunter D (2000)"
348,"Vampire Hunter D (2000)"
353,"Bouken Ou Beet Excellion"
353,"Bouken Ou Beet Excellion"
354,"Soreyuke! Uchuu Senkan Yamamoto Youko II"
354,"Soreyuke! Uchuu Senkan Yamamoto Youko II"
356,"Soukan Yuugi 2"
356,"Soukan Yuugi 2"
359,"Kidou Senshi Gundam F91"
359,"Kidou Senshi Gundam F91"
359,"Kidou Senshi Victory Gundam"
359,"Turn A Gundam"
360,"Sekaiichi Hatsukoi 2"
360,"Sekaiichi Hatsukoi 2"
360,"Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai"
360,"Sekaiichi Hatsukoi: Propose-hen"
362,"Dragon Ball Movie 3: Makafushigi Daibouken"
362,"Dragon Ball Movie 3: Makafushigi Daibouken"
362,"Dragon Ball Movie 4: Saikyou e no Michi"
365,"Koukaku Kidoutai: SAC_2045"
365,"Koukaku Kidoutai: SAC_2045"
365,"Koukaku Kidoutai: SAC_2045 Season 2"
382,"Kidou Senshi SD Gundam Mk-IV"
382,"Kidou Senshi SD Gundam Mk-IV"
382,"Kidou Senshi SD Gundam Mk-V"
386,"Defend Love"
386,"Defend Love"
395,"Hayate no Gotoku! Can't Take My Eyes Off You"
395,"Hayate no Gotoku! Can't Take My Eyes Off You"
395,"Hayate no Gotoku! Cuties"
404,"Mameshiba 2nd Season"
404,"Mameshiba 2nd Season"
408,"Major 2nd"
408,"Major 2nd"
408,"Major 2nd 2nd Season"
410,"Weiß Survive R"
410,"Weiß Survive R"
410,"Weiß Survive R"
415,"Shin Chuuka Ichiban!"
415,"Shin Chuuka Ichiban!"
415,"Shin Chuuka Ichiban! 2nd Season"
418,"Densetsu Kyojin Ideon: Hatsudou-hen"
418,"Densetsu Kyojin Ideon: Hatsudou-hen"
426,"Maria†Holic Alive"
426,"Maria†Holic Alive"
429,"Hoshi ni Negai wo: Fantastic Cat"
429,"Hoshi ni Negai wo: Fantastic Cat"
433,"Zettai Muteki Raijin-Oh (1992)"
433,"Zettai Muteki Raijin-Oh (1992)"
436,"Ikusa Otome Valkyrie Shinshou"
436,"Ikusa Otome Valkyrie Shinshou"
437,"McDull: Boluo You Wang Zi"
437,"McDull: Boluo You Wang Zi"
442,"Toaru Majutsu no Index II"
442,"Toaru Majutsu no Index II"
442,"Toaru Majutsu no Index III"
448,"Yuusha Shirei Dagwon: Suishou no Hitomi no Shounen"
448,"Yuusha Shirei Dagwon: Suishou no Hitomi no Shounen"
